OTU	Kingdom	Phylum	Class	Order	Family	Genus	Specie
OTU_322	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	
OTU_75	Fungi	Ascomycota					
OTU_4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Debaryomyces	Debaryomyces
OTU_146	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Debaryomyces	
OTU_157	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Debaryomyces	
OTU_212	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Debaryomyces	
OTU_269	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Debaryomyces	
OTU_384	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Debaryomyces	
OTU_438	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Debaryomyces	
OTU_147	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium
OTU_93	Plantae	unidentified	unidentified				
OTU_414	Plantae	unidentified	unidentified	unidentified	unidentified		
OTU_53	Fungi	Basidiomycota	Ustilaginomycotina	Malasseziales	Malasseziaceae	Malassezia	Malassezia
OTU_124	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota
OTU_7	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_13	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_274	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_309	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_312	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_333	Fungi	Ascomycota	Saccharomycetes				
OTU_347	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_391	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	unidentified	
OTU_409	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_441	Fungi	Ascomycota	Saccharomycetes				
OTU_442	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_282	Plantae	unidentified					
OTU_465	Fungi	Ascomycota					
OTU_111	Fungi	Ascomycota					
OTU_112	Fungi	Ascomycota					
OTU_191	Fungi	Ascomycota					
OTU_445	Fungi	Ascomycota					
OTU_132	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium
OTU_392	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales			
OTU_23	Plantae	unidentified	unidentified	unidentified	unidentified	unidentified	Plantae
OTU_284	Plantae	unidentified	unidentified	unidentified	unidentified		
OTU_390	Plantae	unidentified	unidentified	unidentified	unidentified		
OTU_416	Plantae	unidentified	unidentified	unidentified			
OTU_81	Fungi	Basidiomycota	Agaricomycetes	Agaricales	unidentified		
OTU_41	Fungi	Ascomycota	Eurotiomycetes	Eurotiales			
OTU_45	Fungi	Ascomycota	Eurotiomycetes	Eurotiales			
OTU_70	Fungi	Ascomycota	Eurotiomycetes				
OTU_103	Fungi	Ascomycota	Eurotiomycetes	Eurotiales			
OTU_429	Fungi	Ascomycota	Eurotiomycetes	Eurotiales			
OTU_189	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales	Coniosporium	
OTU_205	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	Cladosporium
OTU_151	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales	Cryptococcus	
OTU_138	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_48	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	
OTU_63	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus
OTU_374	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae		
OTU_453	Fungi	Ascomycota	Sordariomycetes				
OTU_164	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium
OTU_62	Fungi	Basidiomycota	Ustilaginomycotina	Malasseziales	Malasseziaceae	Malassezia	Malassezia
OTU_159	Fungi	Basidiomycota	unidentified	unidentified	unidentified	unidentified	Basidiomycota
OTU_27	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria
OTU_22	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales	Cryptococcus	Cryptococcus
OTU_20	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Dipodascus	
OTU_35	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_102	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_128	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Dipodascus	
OTU_175	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia
OTU_89	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales	Cryptococcus	Cryptococcus
OTU_389	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellales	Cryptococcus	
OTU_19	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_74	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces
OTU_77	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_106	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_142	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_145	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces
OTU_152	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_167	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_178	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces
OTU_184	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_247	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
OTU_272	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
OTU_338	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_405	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
OTU_59	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi
OTU_71	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus
OTU_55	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales	Rhodotorula	Rhodotorula
OTU_292	Plantae	unidentified	unidentified	unidentified	unidentified	unidentified	
OTU_54	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	unidentified	unidentified	Cantharellales
OTU_305	Fungi	Basidiomycota					
OTU_44	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales	Auricularia	Auricularia
OTU_123	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Togniniaceae	Phaeoacremonium	Phaeoacremonium
OTU_176	Fungi	Ascomycota					
OTU_440	Fungi	Ascomycota					
OTU_457	Fungi	Ascomycota					
OTU_127	Fungi	Basidiomycota	Ustilaginomycotina	Malasseziales	Malasseziaceae	Malassezia	Malassezia
OTU_231	Fungi	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae		
OTU_194	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces
OTU_434	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	
OTU_297	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Candida	
OTU_80	Fungi	Ascomycota	unidentified	unidentified	unidentified	unidentified	Ascomycota
OTU_33	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis
OTU_107	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia
OTU_83	Plantae	unidentified	unidentified	unidentified	unidentified	unidentified	Plantae
OTU_104	Plantae	unidentified	unidentified	unidentified	unidentified	unidentified	
OTU_190	Plantae	unidentified	unidentified	unidentified	unidentified	unidentified	
OTU_341	Plantae	unidentified	unidentified	unidentified	unidentified	unidentified	
OTU_116	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Agaricostilbaceae	Sterigmatomyces	Sterigmatomyces
OTU_9	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_10	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_92	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Dipodascus	
OTU_96	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_135	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_207	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_209	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Dipodascus	
OTU_261	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_267	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_294	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_301	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_402	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_412	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_418	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae		
OTU_174	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	unidentified		
OTU_370	Fungi	Basidiomycota					
OTU_169	Fungi	Ascomycota	Pezizomycotina	Pezizomycotina	Pezizomycotina	Knufia	
OTU_113	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium
OTU_94	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium
OTU_433	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Candida	Candida
OTU_64	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	
OTU_250	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae		
OTU_31	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Candida	Candida
OTU_110	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Candida	
OTU_60	Fungi	Basidiomycota	Ustilaginomycotina	Malasseziales	Malasseziaceae	Malassezia	
OTU_18	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	Mycosphaerella
OTU_148	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae		
OTU_266	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae		
OTU_459	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	
OTU_255	Fungi	Ascomycota	unidentified	unidentified	unidentified		
OTU_168	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales	Sporobolomyces	Sporobolomyces
OTU_82	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum
OTU_137	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus
OTU_351	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus
OTU_280	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	unidentified	Nectriaceae
OTU_14	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium
OTU_30	Fungi	unidentified					
OTU_34	Fungi	unidentified	unidentified				
OTU_69	Fungi	unidentified	unidentified	unidentified	unidentified		
OTU_144	Fungi	unidentified	unidentified				
OTU_327	Fungi	unidentified	unidentified	unidentified			
OTU_340	Fungi	unidentified	unidentified	unidentified			
OTU_359	Fungi	unidentified					
OTU_423	Fungi	unidentified	unidentified				
OTU_456	Fungi	unidentified	unidentified	unidentified			
OTU_458	Fungi	unidentified	unidentified	unidentified			
OTU_29	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Aureobasidium	Aureobasidium
OTU_163	Fungi	Ascomycota	Dothideomycetes	unidentified	unidentified	unidentified	
OTU_224	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma
OTU_16	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	Fungi
OTU_39	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia
OTU_427	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae		
OTU_57	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	Cladosporium
OTU_84	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales	Candida	Candida
OTU_79	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	
OTU_67	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	unidentified	unidentified	Chaetothyriales
OTU_109	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium
OTU_1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium
OTU_78	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium
OTU_171	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma
OTU_26	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
OTU_98	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
OTU_105	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae		
OTU_85	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium
OTU_426	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Parabagliettoa	Parabagliettoa
